carType,carPlate,region
BMW 330i,ZMY 281AX,Zachodniopomorskie
BMW 330i,ES 51946,Łódzkie
BMW 330i GT,EL 5N394,Łódzkie
BMW 330i,DSR 32362,Śląskie
BMW 330i,LLU 59613,Lubelskie
BMW 330e,LU 219LV,Lubelskie
BMW 330i,WE 7G840,Śląskie
BMW 330i,PP 3657K,Wielkopolskie
BMW 330i,PKE 96N1,Wielkopolskie
BMW 330i,PSR 91J3,Wielkopolskie
Cupra Leon,PKE 1NA1,Wielkopolskie
Ford Focus,OPO JA25,Opolskie
BMW 330i,OK 94501,Opolskie
BMW 330i,ONY TY09,Opolskie
BMW 330i,OST 60RC,Opolskie
BMW 330i,OGL 34CH,Opolskie
BMW 330i GT,OP 2709L,Opolskie
BMW K1300GT,OPO 1AM1,Opolskie
BMW 330i,NKE RH24,Warmińsko-mazurskie
Kia Ceed,WT 96014,Mazowieckie
Opel Insignia,WL 28024,Mazowieckie
Skoda Superb III FL,WE 619SY,Mazowieckie
BMW 330i,WPI 12LC,Mazowieckie
BMW 330i,WK 48439,Mazowieckie
Opel Insignia,GDA FL94,Pomorskie
BMW 330i,GD 361MT,Pomorskie
BMW 330i,GCZ 19HU,Pomorskie
BMW 330i,GST 3H02,Pomorskie
BMW 330i,KOL LM59,Małopolskie
BMW 330i,BI 8697Y,Podlaskie
BMW 330i,BAU 6C09,Podlaskie
BMW 330i,RZ 0237A,Podkarpackie
BMW 330i,OKL 45509,Śląskie
BMW 330i,CBY 1AU9,Kujawsko-pomorskie
BMW 330i,TKI 2046A,Świętokrzyskie
BMW 330i,DOL 95102,Dolnośląskie
Kia Stinger GT,SY 4867K,Śląskie
Opel Astra V,ST 2734K,Śląskie
BMW M340i,SK 618SM,Śląskie
Kia Stinger GT,SZY 81935,Śląskie
BMW 330i,SMI 31712,Śląskie
Skoda Superb III,SK 381HX,Śląskie
BMW 330i,SBE 2CN9,Śląskie
BMW 330i,SH 2656C,Śląskie
Opel Astra V,LPA 19413,Lubelskie
Volkswagen Crafter,SK 3535P,Śląskie
Opel Astra V,SZ 7961L,Śląskie
BMW 330i,RMI 72348,Podkarpackie
BMW 330i,RZ 073CE,Podkarpackie
Opel Insignia,RJS 56YT,Podkarpackie
BMW 330i,RT 43691,Podkarpackie
BMW 330i,RZE XA41,Podkarpackie
BMW 330i,CT 3010P,Kujawsko-pomorskie
Opel Insignia,CT 23635,Kujawsko-pomorskie
Opel Insignia,CBY 12N7,Kujawsko-pomorskie
Opel Insignia,CRY G312,Kujawsko-pomorskie
Volkswagen Passat B8,WU 8135F,Mazowieckie
